,company_name,rating,reviews,salary,n_interviews,n_jobs,n_photos
462,Reliance General Insurance,3.9,1.4k,6.4k,65,1,1
463,Dr Lal PathLabs,4.2,1.4k,4k,103,28,1
464,Honda,4.2,1.4k,5k,84,5,7
465,Novartis,4.1,1.4k,8.2k,95,61,22
466,Optum Global Solutions,4.1,1.4k,8.9k,99,--,--
467,Renault Nissan Technology & Business Centre India,3.9,1.5k,13.2k,72,8,8
468,L&T Energy Hydrocarbon,3.9,1.4k,7.4k,67,--,1
469,TCE,3.8,1.4k,7.2k,189,19,9
470,Kotak Securities,3.7,1.4k,7.9k,77,22,3
471,Meesho,3.7,1.4k,6.5k,181,135,11
472,Xoriant,3.9,1.4k,10.8k,117,65,40
473,YASH Technologies,3.8,1.4k,15.5k,97,20,34
474,Narayana Health,4.2,1.4k,5.1k,43,76,--
475,Honeywell Automation,3.8,1.4k,10.4k,68,252,--
476,AXA Business Services,3.9,1.4k,7.4k,52,28,5
477,Big Bazaar,4.3,1.4k,4k,36,--,--
478,SBI General Insurance,3.8,1.4k,5.1k,73,32,5
479,Spark Minda,3.9,1.4k,5.5k,89,10,7
480,BA Continuum,4.3,1.4k,11.2k,74,--,--
481,Apollo Pharmacy,3.9,1.4k,4.6k,89,188,4
482,Vedantu,3.4,1.4k,8.9k,164,38,6
483,Wockhardt,3.9,1.4k,4.7k,40,9,--
484,MetLife,4.3,1.4k,7.9k,56,612,--
485,Philips,3.9,1.4k,10k,96,141,9
486,CMS Infosystems,3.7,1.4k,4.1k,37,11,--
487,Tata Play,4.0,1.4k,4.7k,57,8,10
488,Biological E,4.2,1.4k,5.9k,88,32,--
489,Niva Bupa Health Insurance Company,3.7,1.4k,6.4k,74,17,--
490,Vardhman Fabrics,4.1,1.4k,5.5k,48,19,1
491,NCR Corporation,4.1,1.4k,8.4k,70,153,6
492,Crisil,3.7,1.4k,10.9k,131,242,18
493,Aragen Life Sciences,4.1,1.4k,5.6k,82,50,17
494,G R Infraprojects,4.2,1.4k,4.8k,98,18,4
495,Exl India,3.6,1.4k,10.2k,55,--,--
496,Safexpress,4.1,1.4k,5.1k,76,--,21
497,Frankfinn Institute of Air Hostess Training,4.0,1.4k,3.3k,70,126,243
498,Innovsource Services,4.0,1.4k,4.2k,48,1,5
499,Microland,3.6,1.4k,10.9k,93,35,5
500,Allstate,4.0,1.4k,10.2k,87,36,6
501,Panasonic Life Solutions,4.1,1.3k,5k,48,5,--
502,SBI Securities,3.9,1.4k,5.2k,107,142,6
503,Amazon Transportation Services,4.2,1.3k,4.2k,122,--,3
504,R.R. Donnelley,4.1,1.3k,10.1k,72,20,--
505,Angel One,3.9,1.3k,6.8k,87,67,4
506,Metro Cash & Carry,4.2,1.3k,4.7k,38,4,2
507,PHN Technology,4.6,1.3k,200,22,1,3
508,Matrimony.com,4.4,1.4k,4k,60,81,--
509,SS&C TECHNOLOGIES,3.6,1.3k,11.4k,118,80,12
510,Reckitt Benckiser,4.0,1.3k,5.8k,62,41,--
511,Bharat Financial Inclusion,4.0,1.3k,3.4k,39,1,11
512,Bhushan Power & Steel,4.0,1.3k,4.6k,40,--,--
513,CitiusTech,3.5,1.3k,12.1k,162,16,6
514,USV,4.1,1.3k,5k,59,12,--
515,Aditya Birla Capital,4.0,1.3k,8.1k,100,12,24
516,Motherson Automotive Technologies and Engineering,4.0,1.3k,6.1k,85,17,1
517,Adecco Group,3.8,1.3k,5.9k,63,35,--
518,Procter & Gamble,4.2,1.3k,5.4k,86,27,1
519,Dainik Bhaskar Group,4.4,1.3k,4.4k,38,99,1
520,XL Dynamics,3.2,1.3k,3.7k,96,--,--
521,Yamaha Motor,4.2,1.3k,5.4k,38,20,--
522,USHA International,4.2,1.3k,4.6k,61,26,5
523,Cavinkare,4.0,1.3k,4.7k,34,--,--
524,Team Computers,3.7,1.3k,7.1k,70,56,1
525,HERE Technologies,3.8,1.3k,7.8k,55,33,--
526,Mercedes-Benz Research & Development India,4.0,1.3k,14.8k,142,2,7
527,NTPC,4.3,1.3k,3.5k,134,--,9
528,KONE,4.3,1.3k,5.1k,72,25,24
529,Isgec Heavy Engineering,3.9,1.3k,6.2k,84,14,107
530,DHL Supply Chain,4.3,1.3k,5k,62,16,7
531,Torrent Power,3.8,1.3k,6.4k,96,27,5
532,Mother Dairy Fruit & Vegetable,4.2,1.3k,4.5k,56,--,1
533,PI Industries,4.2,1.3k,6k,82,6,9
534,Honda Cars,4.4,1.3k,5.9k,61,--,1
535,Oberoi Group of Hotels,4.3,1.3k,4k,73,--,1
536,Honeywell Technology Solutions,3.9,1.3k,12.5k,107,--,--
537,DIVI'S Laboratories,3.9,1.3k,5.8k,57,2,--
538,Chegg,4.2,1.3k,3.2k,123,30,--
539,Saint-Gobain,4.0,1.3k,8.4k,129,55,7
540,Haier Appliances India,4.1,1.3k,5.7k,95,3,4
541,Johnson & Johnson,4.2,1.3k,5.8k,69,27,9
542,Sigma Electric Manufacturing Corporation,4.0,1.3k,3.9k,51,7,7
543,Paisabazaar.com,3.7,1.3k,5.8k,105,76,11
544,Jindal Saw,4.0,1.3k,5.3k,79,--,3
545,Credit Suisse,4.2,1.3k,15.8k,131,1,--
546,Arvind Group,4.1,1.3k,5.8k,44,36,6
547,Max Fashion,4.2,1.3k,3.5k,48,3,10
548,Verizon,4.2,1.3k,10.8k,76,20,5
549,Tata Communications Transformation Services,4.2,1.3k,8.2k,65,--,1
550,Hyatt Regency,4.2,1.2k,3.4k,32,1,--
551,Daikin,4.2,1.3k,5.7k,89,--,1
552,Star Union Dai-ichi Life Insurance,3.9,1.3k,4.6k,59,31,1
553,V-Guard Industries,4.4,1.3k,3.5k,33,13,15
554,Medi Assist India,3.8,1.2k,5.9k,80,37,--
555,DHL Express,4.1,1.3k,5.7k,45,60,--
556,Globiva,3.2,1.3k,4k,75,47,2
557,Exela Technologies,3.6,1.2k,7.3k,59,25,--
558,Haldiram Foods,4.0,1.2k,5.4k,85,4,--
559,FactSet,4.0,1.2k,9k,135,19,26
560,Nuvoco Vistas,4.3,1.2k,5.2k,66,10,2
561,Tata Group,4.3,1.2k,4.4k,337,--,--
562,Photon Interactive,3.9,1.2k,6.6k,56,167,--
563,CG Power and Industrial Solutions,3.9,1.2k,6.1k,57,17,3
564,UBS,3.9,1.2k,13.6k,132,--,12
565,HDFC Securities,3.7,1.2k,5.5k,83,41,5
566,Medanta the Medicity,4.2,1.2k,4.2k,68,61,2
567,Relaxo Footwear,4.3,1.2k,3.8k,58,75,--
568,Piramal Group,4.0,1.2k,4.6k,50,42,3
569,Hindustan Petroleum,4.3,1.2k,5.2k,70,--,1
570,Orange Business,4.3,1.2k,8.7k,74,120,--
571,Aadhar Housing Finance,4.1,1.2k,3.9k,48,22,2
572,BNP Paribas,3.9,1.2k,12.8k,115,2,8
573,FirstCry,3.8,1.2k,6.8k,114,115,2
574,Morgan Stanley,3.7,1.2k,19.3k,216,57,8
575,First American Corporation,3.9,1.2k,8k,62,29,--
576,NextComm Corporation,4.9,1.2k,7,3,--,3
577,Biocon Biologics,3.8,1.2k,5k,69,19,14
578,Aforeserve,3.5,1.2k,3.9k,42,28,--
579,Security and Intelligence Services (India),4.1,1.2k,3.8k,43,28,5
580,Oracle Cerner,3.7,1.2k,11.4k,122,--,1
581,Belrise Industries,3.8,1.2k,6k,70,2,--
582,Emami,4.1,1.2k,4.6k,60,2,2
583,Aon,3.9,1.2k,5.5k,43,19,--
584,IDC Technologies,3.3,1.2k,7.5k,51,12,13
585,Bata,3.9,1.2k,3.6k,48,--,5
586,Exotic Learning,4.5,1.2k,378,42,14,--
587,Fusion BPO Services,3.2,1.2k,3.7k,76,10,12
588,Dell EMC,4.2,1.2k,11.4k,54,--,1
589,Hindustan Construction Company,4.2,1.2k,3.5k,63,1,--
590,Toyota Kirloskar Motor,4.4,1.2k,3.6k,36,--,3
591,Marriott International,4.4,1.2k,4.7k,59,583,2
592,Tata Power,4.0,1.2k,6.4k,113,8,9
593,KFC,4.3,1.2k,2.7k,46,--,1
594,Mercer,3.8,1.2k,9.3k,60,12,--
595,Tesco,3.9,1.2k,8k,68,40,4
596,Narayana Educational Society,3.7,1.2k,3.9k,42,5,--
597,Trident Group,3.5,1.2k,4.8k,66,8,17
598,Faurecia,4.0,1.2k,6.3k,49,40,1
599,Trent,4.1,1.2k,3.8k,53,11,--
600,TaskUs,3.5,1.2k,5.2k,126,60,10
601,Ola Electric Mobility,3.3,1.2k,6k,150,3,9
602,Altruist Technologies,3.2,1.2k,6.1k,88,2,2
603,Tata Advanced Systems,3.9,1.2k,8.1k,81,5,1
604,FedEx Express,4.2,1.2k,4k,55,45,--
605,Polycab Wires,4.1,1.2k,5.5k,66,32,6
606,Iris Software,4.2,1.2k,6.6k,78,13,12
607,Veritas Finance,4.7,1.1k,1.6k,59,1,21
608,L.G.Balakrishnan & Bros,3.7,1.1k,5.3k,49,--,--
609,Suguna Foods,4.1,1.2k,3.6k,62,9,7
610,Marico,4.1,1.1k,4.9k,59,18,4
611,HTC Global Services,3.6,1.2k,10.5k,88,37,--
612,iOPEX Technologies,3.8,1.1k,4.5k,45,10,20
613,NIIT,3.7,1.2k,6.1k,62,26,15
614,Infinite Computer Solutions,3.5,1.2k,11.2k,95,247,8
615,Muthoot Group,3.7,1.1k,3.8k,57,--,3
616,Hero Motors Company,4.1,1.1k,5k,62,--,3
617,Krishna Maruti,4.0,1.1k,4.8k,71,2,3
618,Sony,4.4,1.1k,4.3k,45,72,--
619,Jet Airways,4.6,1.1k,4.2k,23,--,--
620,Bajaj Capital,3.9,1.1k,3.6k,59,45,7
621,Welspun,4.1,1.1k,4.4k,55,10,8
622,Manipal Hospitals,4.2,1.1k,4.7k,56,84,2
623,Oracle Financial Services Software,3.7,1.1k,12.9k,110,--,7
624,Pantaloons,4.2,1.1k,2.9k,44,--,--
625,Satin Creditcare Network,4.1,1.1k,3.2k,38,3,1
626,Nayara Energy,4.3,1.1k,5.7k,65,1,5
627,Inox Leisure,4.1,1.1k,3.9k,45,--,1
628,SRL Diagnostics,4.2,1.1k,3.5k,48,2,--
629,ISS Facility Services,4.2,1.1k,3.7k,39,37,--
630,Biocon Limited,3.9,1.1k,10.9k,112,20,--
631,ZF Commercial Vehicle Control Systems,4.0,1.1k,2.7k,26,--,--
632,Akzo Nobel India,4.2,1.1k,3.8k,45,18,5
633,Adani Group,3.9,1.1k,7.4k,121,99,2
634,TTEC India,3.8,1.1k,4k,95,5,24
635,J. Kumar Infraprojects,4.2,1.1k,4.3k,50,2,2
636,Fabindia,3.9,1.1k,4.2k,39,3,3
637,Barclays Shared Services,4.1,1.1k,6.6k,24,15,--
638,Collabera Technologies,3.5,1.1k,7.8k,108,9,--
639,ICICI Home Finance,3.7,1.1k,4k,55,1,1
640,Daimler India Commercial Vehicles,4.2,1.1k,6.4k,46,3,--
641,Cushman & Wakefield,4.3,1.1k,5.1k,53,84,--
642,Gland Pharma,3.7,1.1k,5.9k,59,8,--
643,VLCC,3.7,1.1k,3.2k,28,22,--
644,Redcliffe Labs,4.5,1.1k,1.2k,36,7,33
645,Chandigarh University,4.5,1.1k,2.2k,52,77,6
646,Supreme Industries,4.2,1.1k,4.8k,56,2,3
647,Panasonic,4.1,1.1k,5.3k,41,--,2
648,Lavender Technology,5.0,1.1k,3,3,--,--
649,Asahi India Glass,3.9,1.1k,4.4k,50,20,2
650,Ashoka Buildcon,4.1,1.1k,3.8k,46,4,4
651,ITD Cementation India,4.3,1.1k,3.7k,42,1,4
652,JioMart,3.9,1.1k,3.5k,76,--,6
653,Jindal X,3.6,1.1k,2.7k,84,33,1
654,TCS iON,3.9,1.1k,4.6k,233,1,1
655,Annapurna Finance,4.2,1.1k,3k,46,19,--
656,Sysnet Global Technologies,3.7,1.1k,3.5k,55,--,--
657,NeoSOFT,3.8,1.1k,8.2k,136,30,6
658,Aye Finance,4.2,1.1k,2.7k,48,45,6
659,Godrej Group,4.0,1.1k,2.8k,93,2,3
660,Shadowfax Technologies,3.7,1.1k,4.8k,76,44,14
661,Granules India,3.9,1.1k,5k,50,6,--
662,Ocwen Financial Solutions,4.2,1.1k,5.4k,40,--,--
663,Heritage Foods,4.1,1.1k,3.4k,60,37,--
664,GMR Group,4.1,1.1k,4.2k,56,--,--
665,Aptara,3.4,1.1k,5.9k,53,18,4
666,Sanofi,4.4,1.1k,3.8k,51,148,--
667,HighRadius,3.0,1.1k,6.4k,117,28,13
668,GE,4.3,1.1k,8.4k,73,28,--
669,Adani Ports and SEZ,3.9,1.1k,4.6k,55,--,3
670,Compass Group Support Services,4.1,1k,4.6k,42,25,19
671,MiraMed Ajuba,4.0,1k,4.2k,47,--,--
672,EPAM Systems,3.8,1.1k,12.2k,227,32,17
673,Bharat Forge,3.9,1k,5.6k,44,5,--
674,Spicejet,3.5,1k,5k,76,5,4
675,Canara Bank,3.4,1k,3.3k,45,--,--
676,Spinny,3.9,1.1k,4.9k,122,88,--
677,Caterpillar Inc,4.2,1.1k,8.2k,118,52,7
678,Bharat FIH,4.0,1k,3.2k,55,3,--
679,Broadridge Financial Solutions,4.0,1.1k,9.6k,87,65,4
680,Unisys,3.8,1k,9.9k,47,--,--
681,Evalueserve,3.5,1k,9.5k,72,--,2
682,AB InBev India,3.5,1k,6.7k,57,18,2
683,NSE.IT,3.6,1k,5.7k,91,3,--
684,GE Vernova,4.2,1k,4.3k,58,--,1
685,Sharekhan,4.0,1k,4.8k,49,44,--
686,Steel Strips Wheels,3.8,1k,5.1k,54,8,6
687,Xiaomi,3.9,1k,5.2k,67,5,8
688,Edelweiss,3.8,1k,7.8k,52,10,--
689,Vfs Global Services,3.6,1k,3.9k,42,8,--
690,Lumax Industries,4.0,1k,5.3k,54,1,2
691,Amity University,3.6,1k,4.7k,72,53,--
692,Sagility,3.9,1.1k,4.6k,84,58,75
693,IFB,3.8,1k,4.6k,69,1,--
694,Pine Labs,3.7,1k,5.4k,63,16,--
695,Unichem Laboratories,3.9,1k,4.8k,70,16,--
696,Bisleri,4.2,1k,3.6k,65,1,5
697,NEC,4.5,1k,3.9k,36,26,55
698,Indoco Remedies,3.7,1k,5.1k,53,2,--
699,Cinépolis,4.1,1k,2.9k,38,3,--
700,Physicswallah,3.9,1k,3.1k,107,103,6
701,Newgen Software Technologies,3.6,1k,10k,124,3,8
702,CorroHealth,3.4,1k,4.3k,96,7,5
703,Tanishq,4.4,1k,2.5k,49,1,4
704,Synchrony,4.4,1k,5k,47,--,23
705,Aircel,4.5,999,1.7k,6,--,--
706,Iffco Tokio General Insurance Co.,4.2,1k,3.8k,28,--,5
707,Punjab National Bank,4.1,988,2.8k,31,--,2
708,Jakson Group,4.4,992,3.2k,56,17,2
709,Iksula,3.8,1k,3.4k,23,11,5
710,Fino Payments Bank,4.0,996,3.6k,41,11,1
711,Northern Trust Operating Services,4.1,994,8k,82,59,--
712,LivSpace,3.5,1k,6.4k,93,128,3
713,SYSKA LED Lights,2.9,983,2.6k,53,--,--
714,ECIL,4.1,984,3.5k,34,2,2
715,Saipem,4.1,976,3.1k,37,--,19
716,Devyani International,3.9,993,3k,33,23,9
717,Valeo,4.1,992,6.9k,67,163,3
718,Aditya Birla Health Insurance Co,3.9,992,5.2k,57,4,--
719,FDC,4.1,982,3.3k,38,5,5
720,Paytm Payments Bank,4.0,998,5.8k,99,8,--
721,BVG India,4.0,986,3.4k,34,3,1
722,Tietoevry,4.3,981,9k,60,60,13
723,Health Care Global Enterprises,4.2,985,2.4k,42,59,3
724,Best Sellers,4.2,978,2.9k,21,5,2
725,Goldman Sachs,3.6,989,14.9k,296,--,1
726,Suryoday Small Finance Bank,4.1,978,3.9k,51,22,--
727,VMware Software,4.4,977,9.9k,112,38,--
728,Sheenlac Paints,4.6,1k,1.3k,111,3,16
729,Burger King,4.0,967,3.3k,54,7,4
730,DISH TV,3.6,959,3.4k,42,11,1
731,AGS Transact Technologies,3.5,961,4.1k,22,7,1
732,SKF,4.0,967,4.1k,48,--,3
733,Foxconn,4.2,964,7.8k,87,3,--
734,Oil And Natural Gas Corporation,4.3,962,3.3k,55,--,2
735,Fidelity National Financial,3.8,956,5.8k,42,5,7
736,Wheelseye Technology,3.7,956,3k,63,34,6
737,DENSO,4.2,958,3.6k,51,--,6
738,Sansera Engineering,4.2,952,4.3k,51,4,2
739,Xyz Company,3.8,972,27.9k,253,1,--
740,Apco Infratech,3.9,943,3.6k,80,16,7
741,ManpowerGroup,4.0,951,4.7k,37,102,10
742,SAI Life Sciences,3.9,954,4.9k,66,23,7
743,Tata 1mg,3.7,955,4.8k,103,45,20
744,Clover Infotech,3.7,954,9.7k,67,50,35
745,Shriram Pistons & Rings,4.1,939,4.3k,50,2,1
746,ANZ Banking Group,4.2,943,7.3k,61,12,--
747,QualityKiosk Technologies,3.7,940,9.1k,96,242,--
748,Gujarat Fluorochemicals,4.2,942,4.9k,55,--,3
749,Dixon Technologies,4.2,941,4.3k,76,4,1
750,Schindler,4.0,942,3.9k,53,8,--
751,Fresenius Kabi,4.2,939,4.3k,31,6,--
752,Atul,4.0,932,4.6k,61,5,--
753,Nexa,4.1,935,2.8k,25,--,--
754,Vibgyor High School,3.8,935,3.9k,49,154,--
755,The Jaypee Group,3.9,927,3.4k,34,--,1
756,K12 Techno Services,3.0,937,4k,91,198,1
757,Vestas,4.3,935,4.7k,62,5,6
758,Amneal Pharmaceuticals,4.3,934,4.8k,46,33,1
759,Eureka Outsourcing Solutions,3.2,935,3.2k,57,10,--
760,Hitachi Astemo,4.1,934,4.1k,73,--,--
761,Altisource,3.6,929,5k,32,28,9
762,FOCUS EDUMATICS,3.4,930,2.4k,101,--,18
763,Amara Raja Energy & Mobility,4.3,936,3.6k,46,63,--
764,Tata AutoComp Systems,3.9,936,5k,57,29,1
765,iSON Xperiences,3.6,929,3.1k,50,11,2
766,Luminous Power Technologies,4.2,924,3.2k,48,39,--
767,Wistron,3.9,932,5.1k,70,7,2
768,Indegene,3.6,932,7.4k,119,46,16
769,CreditAccess Grameen,4.3,925,2.3k,27,5,7
770,TELUS International Philippines,3.8,934,6.9k,60,59,--
771,Infogain,3.7,927,10.2k,81,126,4
772,GAIL,4.5,919,3k,59,--,2
773,Patanjali Foods,4.0,918,2.9k,37,1,--
774,Medhaj Techno Concept,4.3,921,2k,41,--,78
775,Tenneco,3.8,917,4.4k,47,--,--
776,Jio Platforms,3.7,929,6.8k,121,2,--
777,IndiaFirst Life Insurance,4.1,926,3.4k,41,--,--
778,Infinx,3.6,921,3.9k,70,18,--
779,Videocon d2h,3.9,905,1.5k,19,--,--
780,Kantar,3.7,921,5.8k,74,--,--
781,Johnson Lifts,4.1,914,3.3k,27,4,1
782,Continental Automotive Components,4.3,916,8.2k,46,11,--
783,CSB Bank,3.4,927,5.1k,55,8,--
784,Eaton Corporation,4.0,917,6.7k,83,92,10
785,AIIMS,4.2,911,4.1k,40,--,13
786,Consolidated Contractors,4.5,898,1.4k,25,--,--
787,Wind World,4.0,909,3.2k,60,4,--
788,Bajaj Motors,4.0,900,3.3k,41,--,--
789,PharmEasy,3.7,905,4.5k,64,20,13
790,Piaggio,3.8,905,3.8k,44,17,3
791,Godrej Properties,3.7,915,5.7k,58,24,1
792,Mahindra CIE Automotive,3.9,903,3.9k,52,78,--
793,Bharat Sanchar Nigam,4.0,891,2.6k,29,--,--
794,TE Connectivity,4.1,902,5.8k,45,29,--
795,PNB Housing Finance,3.9,901,4.1k,35,2,--
796,Intertek,3.8,896,3.6k,34,22,1
797,Jaquar,4.1,901,4k,41,1,--
798,Zf Rane Automotive,4.1,900,3.6k,41,--,--
799,JW Marriott,4.1,893,2.2k,31,--,--
800,TUV SUD,4.0,897,3.5k,46,16,2
801,Automotive Manufacturers,4.2,895,5.7k,68,10,2
802,Godrej Consumer Products,4.3,894,4.1k,35,--,4
803,Gannon Dunkerley & Co.,3.8,884,2.2k,27,--,1
804,IIFL SAMASTA,4.1,900,2.2k,41,8,7
805,Mondelez International,4.4,898,3.9k,40,38,9
806,Capri Global Capital,3.7,893,3k,39,77,9
807,Worley,4.1,893,5.7k,77,56,--
808,JSW Cement,4.1,885,3.6k,74,--,12
809,Sahara India Pariwar,3.8,879,2.5k,23,1,5
810,Apexon,3.4,892,7.7k,68,71,1
811,Adobe,4.2,894,10.4k,169,7,1
812,Slk Software Services,3.6,883,8.4k,60,99,--
813,Spencer's Retail,3.9,883,2.8k,32,13,--
814,Karma Ayurveda,4.5,878,381,4,--,--
815,Punj Lloyd,4.3,870,2k,16,--,--
816,Dhoot Transmission,3.7,880,3.8k,44,--,1
817,Sonata Software,3.7,885,10.5k,76,112,--
818,Petrofac,4.4,870,2.7k,36,28,5
819,Morningstar,3.9,889,7.1k,178,99,3
820,Siemens Gamesa Renewable Power Private Limited,4.1,875,4.8k,40,53,1
821,R Systems International,3.4,882,7k,81,18,5
822,Hinduja Leyland Finance,4.1,874,2.3k,18,4,--
823,GAO Tek,4.5,936,136,49,31,--
824,Hatsun Agro Product,4.0,873,4k,52,23,1
825,Shriram Life Insurance,3.8,869,3.4k,44,13,1
826,Urban Company,3.6,873,4.3k,79,80,11
827,Coca-Cola Company,4.3,863,2.8k,70,--,1
828,Tikona Infinet,3.7,862,3k,23,--,--
829,NSH,3.7,864,2k,22,--,--
830,Viraj Profiles,3.8,858,4k,58,--,--
831,Serco,4.4,854,1.6k,26,--,1
832,Nielsen,3.7,861,5.3k,60,--,6
833,HPCL-Mittal Energy Limited,4.3,858,4.2k,29,--,4
834,Episource,3.8,866,3.6k,189,2,2
835,Decathlon,4.0,873,3.4k,61,2,2
836,Thyrocare Technologies,3.5,866,4k,55,14,1
837,Podar International School,4.3,864,2.7k,45,--,7
838,Amazon Logistics,4.3,869,3.2k,60,--,3
839,RBL FinServe,4.2,860,2.7k,35,--,1
840,iQor Global Services,3.6,849,2.5k,17,20,6
841,Atos Global IT Solutions And Services,4.0,854,8k,66,202,10
842,OpenText Technologies,3.8,857,9.2k,97,74,3
843,Airtel Payments Bank,4.1,856,3.7k,56,--,2
844,Arvind Lifestyle Brands,4.2,852,2.2k,8,--,--
845,Strides Pharma,3.9,851,3.8k,47,5,--
846,Bajaj Housing Finance,3.9,855,4.7k,43,18,2
847,JK Lakshmi Cement,3.9,856,3.3k,42,--,1
848,Mando Automotive,3.9,849,4.6k,41,--,1
849,Kirloskar Oil Engines,4.2,848,3.5k,36,6,1
850,Sunknowledge Services,4.0,851,2.5k,43,11,--
851,MDIndia Health Insurance TPA,3.8,855,3.3k,44,12,3
852,iMerit,3.8,849,3.9k,69,11,--
853,PNC Infratech,4.0,843,3.1k,44,20,2
854,Sri Chaitanya Educational Institutions,3.8,839,2.9k,29,2,--
855,FastInfo,4.3,840,640,20,1,2
856,Shubham Housing Development Finance,4.0,845,2.7k,25,1,1
857,Altimetrik,3.8,851,8.6k,120,31,10
858,V5 Global Services,3.9,846,2.7k,47,42,2
859,Kendriya Vidyalaya Sangathan,4.4,834,1.6k,67,--,1
860,Parexel International,4.0,843,5.2k,57,3,4
861,Ion Exchange India,3.9,838,4.1k,44,17,3
862,Onward Technologies Inc,3.2,839,5.4k,49,93,16
863,BGR Energy Systems,3.9,838,3.8k,36,--,--
864,Jubilant Pharmova,4.0,829,3.9k,52,99,5
865,Aarvee Associates,4.0,835,3.1k,55,5,2
866,Barbeque Nation,4.0,829,2.4k,25,13,9
867,NTT DATA Business Solutions,3.8,841,8.3k,52,--,--
868,DCM Shriram,4.2,823,3.9k,58,6,--
869,Volkswagen,4.2,826,3.4k,26,1,15
870,Novo Nordisk,4.1,829,5k,63,171,10
871,Muthoot Microfin,4.5,825,1.9k,23,8,14
872,Rockman Industries,3.9,820,3.5k,62,8,1
873,ReNew,4.3,835,4k,58,75,3
874,Intel,4.3,827,7.8k,147,415,9
875,Jacobs Engineering Group,4.1,827,4.6k,48,31,1
876,The Ramco Cements,4.3,824,3.2k,35,--,--
877,Edelweiss Tokio Life Insurance,3.9,819,3.6k,32,2,1
878,XcelServ Solutions,4.6,815,484,5,--,--
879,Softenger,4.3,821,2.3k,34,2,12
880,Chetu,3.3,825,7.3k,127,13,23
881,Evision Technoserve,4.7,813,224,15,--,--
882,Nippon Paint India,4.1,828,3.4k,40,5,2
883,OM Logistics,4.1,821,3k,46,9,1
884,Medplus(optival Health Solutions),3.7,818,3.1k,50,16,--
885,Lemon Tree Hotels,4.2,814,2.6k,31,--,--
886,Aerial Telecom Solutions,4.5,812,1.8k,31,74,1
887,Power Grid Corporation of India,4.4,815,2k,50,--,4
888,Pristyn Care,3.7,815,3.5k,49,45,--
889,1point1 Solutions,3.4,812,3k,59,58,2
890,Vertex Customer Solutions,3.6,800,1.6k,8,1,1
891,Vistaar Finance,4.2,805,2k,18,4,3
892,Provana,3.7,809,3k,44,13,4
893,Hyundai Mobis,3.9,807,4.5k,46,7,--
894,V2 Retail,3.6,798,2.3k,39,7,1
895,Ceasefire Industries,3.3,796,2.7k,65,3,--
896,Capacit'e Infraprojects,3.6,798,3.2k,43,4,--
897,Unicharm,4.2,805,2.5k,43,--,--
898,TechnipFMC,4.0,803,5.1k,54,--,--
899,Brillio,3.6,806,8.6k,85,101,5
900,ThyssenKrupp Industries India,4.2,795,4.2k,43,--,2
901,Nykaa,3.5,798,4.9k,72,25,3
902,Kotak Mahindra Prime,4.0,794,3.8k,39,--,--
903,GEP Worldwide,3.8,803,6.9k,77,31,10
904,Hindustan Zinc,3.9,794,4.2k,37,--,--
905,Qualcomm,3.9,793,10.5k,193,580,1
906,Happiest Minds Technologies,3.9,790,9.2k,77,21,9
907,ZF Steering Gear,3.8,795,5.3k,28,11,--
908,Dana Anand,4.2,791,2.7k,32,--,--
909,More Supermarket,3.9,791,3.1k,52,--,--
910,CarDekho,3.7,790,4.3k,50,130,20
911,TEKsystems,3.5,789,8.4k,56,29,2
912,Hathway,3.7,788,3.5k,35,16,--
913,CenturyPly,4.0,787,3.4k,44,5,6
914,Colliers International,4.0,790,4k,44,83,--
915,Intex Technologies,3.7,779,1.8k,13,--,--
916,Acuity Knowledge Partners,3.5,796,7.6k,80,116,14
917,Stanza Living,3.1,788,3.1k,66,71,13
918,Karur Vysya Bank,3.8,787,3.4k,37,33,--
919,Tube Investments of India,4.0,781,2.9k,32,25,5
920,TK Elevator,4.1,783,3.4k,37,--,--
921,Reliance AJIO,3.8,780,2.5k,56,--,--
922,United Alliance Technology,4.9,777,32,4,--,--
923,Aditya Birla Finance,3.9,789,4.3k,26,9,2
924,TradeIndia (Infocom Network Private Limited),3.4,786,4.3k,52,58,28
925,Pizza Hut,4.0,782,2k,31,--,3
926,Bosch Chassis Systems,4.2,775,2.7k,29,--,--
927,Apotex Research,4.2,778,2.6k,19,--,--
928,Feedback Infrastructure Services,3.5,777,2.9k,33,2,--
929,Imperial Auto Industries,3.8,779,4k,40,12,6
930,Rashmi Metaliks,3.6,782,3.5k,49,13,5
931,Secure Meters,4.1,776,3.9k,48,52,8
932,Spandana Sphoorty Financial,3.8,773,2.1k,28,17,2
933,Kirloskar Brothers,4.0,775,4k,47,2,11
934,Syngenta,4.3,771,3.1k,43,26,5
935,Colgate Palmolive,4.2,782,3.7k,52,1,--
936,Diageo,4.1,776,5.4k,46,27,2
937,Sundaram Finance,4.2,775,2.7k,27,11,7
938,Fidelity Investments,4.3,779,8.1k,57,7,--
939,Genius Consultants,3.8,778,3.6k,38,10,--
940,H.G. Infra Engineering,4.4,777,2.3k,52,--,--
941,Ahluwalia Contracts India,4.1,773,2.8k,32,8,2
942,Kinara Capital,4.5,797,1.7k,52,52,39
943,Pricol,4.0,769,4k,33,1,15
944,Dassault Systemes,4.1,771,5.8k,93,--,5
945,PayPal,3.9,777,7.3k,137,85,6
946,Orchids International School,3.1,768,3.1k,74,18,--
