,company_name,rating,reviews,salary,n_interviews,n_jobs,n_photos
105,Mahindra Finance,4.3,4k,11.1k,105,41,6
106,DMart,4.0,4k,14k,280,89,2
107,Standard Chartered,3.9,4k,28.1k,138,11,3
108,Coforge,3.5,4k,36.7k,311,174,7
109,Cyient,3.8,3.9k,25.6k,217,73,3
110,BigBasket,4.0,3.9k,15.3k,275,25,24
111,ICICI Lombard General Insurance Company,3.8,3.9k,18.3k,195,148,15
112,Indiamart Intermesh,3.6,3.9k,17.6k,405,562,10
113,CGI Group,4.1,3.9k,42k,300,250,4
114,Virtusa Consulting Services,3.8,3.9k,51k,373,20,15
115,Equitas Small Finance Bank,4.4,3.8k,11.1k,134,12,14
116,TVS Motor,4.1,3.8k,13.6k,227,100,8
117,Manappuram Finance,4.0,3.7k,7.5k,109,8,6
118,Ekart Logistics,4.1,3.7k,9k,213,--,27
119,GlobalLogic,3.8,3.7k,31.9k,361,29,14
120,UST,3.9,3.7k,35.8k,325,40,13
121,SBI Cards & Payment Services,3.8,3.7k,15.1k,184,134,12
122,Hewlett Packard Enterprise,4.3,3.6k,30.5k,163,16,8
123,Atos Syntel,3.6,3.6k,34.8k,200,36,7
124,Bosch Global Software Technologies,4.1,3.7k,34.8k,231,10,19
125,IQVIA,4.1,3.6k,26.9k,317,23,--
126,Nagarro,4.1,3.6k,25.9k,493,70,19
127,Cholamandalam Investment & Finance,4.1,3.6k,9.9k,122,17,15
128,SMFG India Credit,4.1,3.6k,10.2k,109,59,12
129,Bosch,4.3,3.6k,19.9k,245,--,12
130,Reliance Communications,4.0,3.5k,11.7k,70,2,--
131,BNY Mellon,4.0,3.6k,28.3k,239,291,1
132,L&T Technology Services,3.4,3.6k,33.4k,350,--,5
133,Schneider Electric,4.2,3.6k,20.8k,232,44,6
134,Hyundai Motor,4.4,3.5k,12.8k,196,5,15
135,Amdocs,4.0,3.5k,35k,379,--,20
136,Oyo Rooms,3.4,3.4k,24.3k,176,38,13
137,Swiggy,3.9,3.4k,19.1k,287,100,13
138,CBRE,4.3,3.4k,15.7k,177,72,11
139,State Bank of India,3.9,3.4k,10.1k,184,--,1
140,JBM Group,4.0,3.4k,13k,194,--,13
141,BT Group,4.1,3.4k,10.7k,112,17,--
142,SBI Life Insurance Company,3.9,3.3k,10.5k,170,17,4
143,Optum,4.0,3.4k,26.2k,301,19,4
144,Ecom Express,4.1,3.3k,8.3k,150,53,13
145,Nagarjuna Construction Company,4.2,3.3k,10k,224,19,6
146,Dell,4.2,3.3k,26.8k,276,3,24
147,Bajaj Auto,3.9,3.3k,13k,207,3,21
148,KEC International,4.1,3.3k,11k,225,5,17
149,Future Group,4.3,3.2k,10.9k,67,3,3
150,Piramal Capital Housing Finance,4.3,3.2k,8.4k,138,13,18
151,Aditya Birla Fashion and Retail,4.2,3.2k,11.4k,133,22,11
152,Muthoot Fincorp,4.1,3.2k,8k,105,39,6
153,Royal Enfield,4.3,3.1k,13k,111,3,23
154,L&T Finance,4.0,3.1k,10.3k,97,--,19
155,Viatris,4.3,3.1k,13.8k,107,1,11
156,Tata Communications,4.2,3.1k,22.3k,201,421,11
157,Samvardhana Motherson Group,3.8,3k,13k,172,43,--
158,Intas Pharmaceuticals,4.2,3.1k,15k,155,39,9
159,LG Electronics,4.1,3.1k,9.8k,151,--,8
160,John Deere,4.3,3k,13.8k,167,1,11
161,Varun Beverages,4.1,3k,9.6k,166,75,15
162,Kogta Financial India Limited,4.8,3k,1.3k,68,11,25
163,Persistent Systems,3.8,3k,32.8k,373,12,18
164,Godrej & Boyce Manufacturing,3.9,3k,15.8k,137,51,3
165,Randstad,3.9,3k,13.2k,189,253,2
166,Thermax Limited,4.2,2.9k,11.6k,181,91,9
167,Hetero Drugs,3.9,2.9k,13.4k,158,22,3
168,Deutsche Bank,4.1,2.9k,31.1k,242,320,79
169,Macleods Pharmaceuticals,3.8,2.9k,13.8k,141,--,--
170,Havells,4.1,2.9k,11.7k,141,58,4
171,CARS24,3.7,2.9k,12.2k,231,135,11
172,Team Lease,4.0,2.9k,14k,149,20,2
173,Subros,4.0,2.8k,11.7k,121,4,7
174,Sodexo,4.1,2.8k,9.2k,113,104,7
175,Abbott,4.2,2.8k,10.6k,113,156,8
176,VE Commercial Vehicles,4.1,2.8k,12.2k,154,15,5
177,Indian Oil Corporation,4.5,2.8k,7.4k,207,--,19
178,Whitehat jr,3.5,2.8k,9.5k,292,188,3
179,Ford Motor,4.5,2.8k,13.9k,98,194,11
180,Tata Capital,4.2,2.8k,9.8k,115,1.3k,23
181,Automatic Data Processing (ADP),4.1,2.8k,20k,163,26,13
182,Bharat Electronics,4.2,2.8k,11.3k,160,--,1
183,Cummins,4.4,2.8k,14.7k,168,16,11
184,ITC Infotech,3.7,2.8k,27.2k,228,550,10
185,Access Healthcare,4.0,2.8k,18.5k,150,147,37
186,R1 RCM,3.9,2.8k,16.3k,206,72,18
187,American Express,4.3,2.7k,20.7k,234,186,5
188,Alembic Pharmaceuticals,4.1,2.7k,13.5k,165,58,9
189,Pidilite Industries,4.4,2.7k,9.6k,147,31,1
190,Tata AIA Life Insurance,4.1,2.7k,11.7k,128,1,15
191,UnitedHealth,4.1,2.7k,21.2k,72,3,--
192,Hindalco Industries,4.3,2.7k,9.7k,154,7,6
193,Alkem Laboratories,4.0,2.7k,9.1k,121,16,--
194,Aakash Educational Services,3.6,2.7k,11.2k,216,72,9
195,Publicis Sapient,3.6,2.7k,27.5k,368,27,19
196,Atos,3.8,2.7k,27.3k,216,--,9
197,Utkarsh Small Finance Bank,4.0,2.6k,8.7k,166,24,17
198,DCB Bank,3.9,2.6k,8.5k,139,54,9
199,Hindustan Coca Cola Beverages,4.3,2.6k,7k,98,56,1
200,Indian Air Force,4.7,2.6k,5k,40,--,1
201,Vishal Mega Mart,3.9,2.6k,6.5k,126,4,5
202,Barclays,4.0,2.6k,23.6k,160,--,20
203,Berger Paints,3.8,2.6k,8.5k,207,30,5
204,Marpu Foundation,4.9,2.6k,17,28,--,2
205,Glenmark Pharmaceuticals,4.0,2.6k,11.1k,106,43,--
206,Ipca Laboratories,4.0,2.6k,10.8k,123,55,3
207,Jindal Steel and Power,4.0,2.6k,12.6k,224,20,11
208,Bank of America,4.4,2.6k,24.7k,167,1,--
209,Maersk,4.3,2.5k,16.5k,124,27,26
210,DTDC Express,3.8,2.5k,7.8k,111,35,2
211,24/7 Customer,3.6,2.5k,13k,158,31,5
212,Aarti Industries,4.2,2.5k,12.7k,227,37,2
213,ABB Group,4.1,2.5k,15.2k,145,3,8
214,Honda Motorcycle & Scooter,4.2,2.5k,10.6k,110,--,4
215,Wipro Infotech,4.0,2.5k,16.7k,130,--,--
216,Carelon Global Solutions,4.0,2.5k,23k,280,23,6
217,Johnson Controls,3.7,2.5k,14.5k,189,38,27
218,HDFC Ergo General Insurance,4.1,2.5k,9.7k,101,--,1
219,NatWest Group,4.0,2.5k,20.4k,134,2,8
220,PolicyBazaar,3.5,2.5k,12.8k,192,72,11
221,CMS IT Services,3.1,2.5k,10.5k,94,5,3
222,Cogent E Services,3.4,2.5k,8.3k,178,2,5
223,MRF Tyres,3.8,2.5k,10.9k,229,19,6
224,RBL Bank,3.8,2.5k,15.5k,132,38,5
225,Reliance Nippon Life Insurance,3.9,2.5k,7.9k,102,3,3
226,Paras Hospital,4.6,2.5k,2.6k,61,58,41
227,Reliance Digital,4.2,2.5k,7.3k,83,--,12
228,PNB MetLife,3.5,2.5k,7.8k,115,12,11
229,Jubilant Foods Works,3.9,2.5k,7.5k,116,33,9
230,Escorts Kubota Limited,4.1,2.5k,10.5k,156,--,14
